departamento;municipio;circuito;establecimiento;mesa;electores
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1073;348
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1074;348
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1075;348
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1077;348
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1078;348
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1080;348
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1081;348
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1082;348
CAPITAL;SALTA;2I;ESCUELA Nº 4005 JUAN CARLOS DAVALOS;1255;348
CAPITAL;SALTA;2K;ESCUELA Nº 4014 SAN JOSE;1304;348
CAPITAL;SALTA;2M;INSTITUTO Nº 8053 LA INMACULADA.;1349;348
CAPITAL;SALTA;3B;COLEGIO SECUNDARIO Nº 5035 BATALLA DE SALTA;1512;348
CAPITAL;SALTA;3B;COLEGIO SECUNDARIO Nº 5035 BATALLA DE SALTA;1516;348
CAPITAL;SALTA;3B;ESCUELA Nº 4041 ING. RAFAEL P. SOSA;1521;348
CAPITAL;SALTA;3B;ESCUELA Nº 4041 ING. RAFAEL P. SOSA;1523;348
CAPITAL;SALTA;3B;ESCUELA Nº 4041 ING. RAFAEL P. SOSA;1524;348
CAPITAL;SALTA;3B;ESCUELA Nº 4043 MONS. CARLOS MARIANO PEREZ;1527;348
CAPITAL;SALTA;3B;ESCUELA Nº 4043 MONS. CARLOS MARIANO PEREZ;1533;348
CAPITAL;SALTA;3B;ESCUELA Nº 4043 MONS. CARLOS MARIANO PEREZ;1535;348
CAPITAL;SALTA;3B;ESCUELA Nº 4043 MONS. CARLOS MARIANO PEREZ;1537;348
CAPITAL;SALTA;3B;ESCUELA Nº 4047 MARIA EVA DUARTE DE PERON;1541;348
CAPITAL;SALTA;3B;ESCUELA Nº 4047 MARIA EVA DUARTE DE PERON;1543;348
CAPITAL;SALTA;3B;ESCUELA Nº 4047 MARIA EVA DUARTE DE PERON;1548;348
CAPITAL;SALTA;3B;ESCUELA Nº 4047 MARIA EVA DUARTE DE PERON;1551;348
CAPITAL;SALTA;3B;ESCUELA Nº 4734 DR. RENE G. FAVALORO;1555;348
CAPITAL;SALTA;3B;ESCUELA Nº 4734 DR. RENE G. FAVALORO;1556;348
CAPITAL;SALTA;3B;ESCUELA Nº 4734 DR. RENE G. FAVALORO;1557;348
CAPITAL;SALTA;3B;ESCUELA Nº 4734 DR. RENE G. FAVALORO;1559;348
CAPITAL;SALTA;3B;ESCUELA Nº 4734 DR. RENE G. FAVALORO;1560;348
CAPITAL;SALTA;3B;ESCUELA Nº 4734 DR. RENE G. FAVALORO;1562;348
CAPITAL;SALTA;3I;COLEGIO POLIMODAL Nº 5159;1701;348
CAPITAL;SALTA;3I;COLEGIO POLIMODAL Nº 5159;1703;348
CAPITAL;SALTA;3I;COLEGIO POLIMODAL Nº 5159;1704;348
CAPITAL;SALTA;3I;COLEGIO POLIMODAL Nº 5159;1705;348
CAPITAL;SALTA;5B;COLEGIO SECUNDARIO Nº 5038 AMERICA LATINA;1891;348
CAPITAL;SALTA;5B;COLEGIO SECUNDARIO Nº 5038 AMERICA LATINA;1892;348
CAPITAL;SALTA;5B;ESCUELA Nº 4013 CERVANTES SAAVEDRA;1896;348
CAPITAL;SALTA;5B;ESCUELA Nº 4013 CERVANTES SAAVEDRA;1899;348
CAPITAL;SALTA;5B;ESCUELA Nº 4013 CERVANTES SAAVEDRA;1903;348
CAPITAL;SALTA;5C;ESCUELA Nº 4030 DR. MARIANO MORENO;1919;348
CAPITAL;SALTA;5C;ESCUELA Nº 4050 CLARA SARAVIA L. DE ARIAS;1931;348
CAPITAL;SALTA;5D;E.E.T. Nº 3117 MAESTRO DANIEL OSCAR REYES;1932;348
CAPITAL;SALTA;5E;ESCUELA Nº 4026 DELFIN LEGUIZAMON;1964;348
CAPITAL;SALTA;5E;ESCUELA Nº 4026 DELFIN LEGUIZAMON;1968;348
CAPITAL;SALTA;5E;ESCUELA Nº 4026 DELFIN LEGUIZAMON;1969;348
CAPITAL;SALTA;5E;ESCUELA Nº 4026 DELFIN LEGUIZAMON;1974;348
CAPITAL;SALTA;5E;ESCUELA Nº 4026 DELFIN LEGUIZAMON;1976;348
CAPITAL;SALTA;5E;ESCUELA Nº 4026 DELFIN LEGUIZAMON;1978;348
CAPITAL;SALTA;5E;ESCUELA Nº 4048 PROVINCIA DE SALTA;1981;348
CAPITAL;SALTA;5E;ESCUELA Nº 4048 PROVINCIA DE SALTA;1983;348
CAPITAL;SALTA;5E;ESCUELA Nº 4048 PROVINCIA DE SALTA;1988;348
CAPITAL;SALTA;5E;ESCUELA Nº 4048 PROVINCIA DE SALTA;1989;348
CAPITAL;SALTA;5E;ESCUELA Nº 4048 PROVINCIA DE SALTA;1991;348
CAPITAL;SALTA;5E;ESCUELA Nº 4048 PROVINCIA DE SALTA;1995;348
CAPITAL;SALTA;5E;ESCUELA Nº 4049 INDEPENDENCIA NACIONAL;2002;348
CAPITAL;SALTA;5E;ESCUELA Nº 4775 PROF. ELSA SALFITY;2005;348
CAPITAL;SALTA;5E;ESCUELA Nº 4775 PROF. ELSA SALFITY;2006;348
CAPITAL;SALTA;5E;ESCUELA Nº 4775 PROF. ELSA SALFITY;2009;348
CAPITAL;SALTA;5E;ESCUELA Nº 4775 PROF. ELSA SALFITY;2013;348
CAPITAL;SALTA;5E;ESCUELA Nº 4775 PROF. ELSA SALFITY;2016;348
CAPITAL;SALTA;5E;ESCUELA Nº 4775 PROF. ELSA SALFITY;2018;348
CAPITAL;SALTA;5E;ESCUELA Nº 4775 PROF. ELSA SALFITY;2020;348
CAPITAL;SALTA;5E;ESCUELA Nº 4775 PROF. ELSA SALFITY;2021;348
CAPITAL;SALTA;5E;ESCUELA Nº 4775 PROF. ELSA SALFITY;2026;348
CAPITAL;SALTA;5I;COLEGIO SECUNDARIO Nº 5039 11 DE SETIEMBRE;2109;348
CAPITAL;SALTA;5I;COLEGIO SECUNDARIO Nº 5039 11 DE SETIEMBRE;2110;348
CAPITAL;SALTA;5I;COLEGIO SECUNDARIO Nº 5039 11 DE SETIEMBRE;2117;348
CAPITAL;SALTA;5I;COLEGIO SECUNDARIO Nº 5039 11 DE SETIEMBRE;2119;348
CAPITAL;SALTA;5I;ESCUELA Nº 4042 IV CENT.FUNDACION DE SALTA;2123;348
CAPITAL;SALTA;5I;ESCUELA Nº 4042 IV CENT.FUNDACION DE SALTA;2129;348
CAPITAL;SALTA;5I;ESCUELA Nº 4042 IV CENT.FUNDACION DE SALTA;2130;348
CAPITAL;SALTA;5I;ESCUELA Nº 4042 IV CENT.FUNDACION DE SALTA;2131;348
CAPITAL;SALTA;5I;ESCUELA Nº 4042 IV CENT.FUNDACION DE SALTA;2132;348
CAPITAL;SALTA;5I;ESCUELA Nº 4042 IV CENT.FUNDACION DE SALTA;2133;348
CAPITAL;SALTA;5I;ESCUELA Nº 4046 CESAR PERDIGUERO;2141;348
CAPITAL;SALTA;5I;ESCUELA Nº 4046 CESAR PERDIGUERO;2144;348
CAPITAL;SALTA;5I;ESCUELA Nº 4046 CESAR PERDIGUERO;2145;348
CAPITAL;SALTA;5L;ESCUELA Nº 4700 LEGADO GRAL. BELGRANO;2175;348
CAPITAL;SALTA;5L;ESCUELA Nº 4700 LEGADO GRAL. BELGRANO;2180;348
CAPITAL;SALTA;5L;ESCUELA Nº 4700 LEGADO GRAL. BELGRANO;2183;348
CAPITAL;SALTA;5L;ESCUELA Nº 4700 LEGADO GRAL. BELGRANO;2184;348
CAPITAL;SALTA;5N;ESCUELA Nº 4811 2 DE MAYO CRUC ARA GRAL. BELGRANO;2203;348
CAPITAL;SALTA;5N;ESCUELA Nº 4811 2 DE MAYO CRUC ARA GRAL. BELGRANO;2204;348
CAPITAL;SALTA;5N;ESCUELA Nº 4811 2 DE MAYO CRUC ARA GRAL. BELGRANO;2207;348
CAPITAL;SALTA;5N;ESCUELA Nº 4811 2 DE MAYO CRUC ARA GRAL. BELGRANO;2208;348
CAPITAL;SALTA;5N;ESCUELA Nº 4811 2 DE MAYO CRUC ARA GRAL. BELGRANO;2209;348
CAPITAL;SALTA;5N;ESCUELA Nº 4811 2 DE MAYO CRUC ARA GRAL. BELGRANO;2210;348
CAPITAL;SALTA;5N;ESCUELA Nº 4811 2 DE MAYO CRUC ARA GRAL. BELGRANO;2211;348
CERRILLOS;CERRILLOS;52A;E. E. T. Nº 3150 PACTO DE LOS CERRILLOS;3582;348
GENERAL GÜEMES;GRAL. GÜEMES;12B;ESCUELA Nº 4135 MONS. ROBERTO JOSE TAVELLA;2391;348
IRUYA;ISLA DE CAÑAS;48C;ESCUELA Nº 4150 SANTIAGO DE COMPOSTELA;3533;348
IRUYA;ISLA DE CAÑAS;48C;ESCUELA Nº 4150 SANTIAGO DE COMPOSTELA;3535;348
