departamento;municipio;circuito;establecimiento;mesa;electores
GUACHIPAS;GUACHIPAS;64A;ESCUELA Nº 4378 LA BODEGUITA;3772;19
R. DE LA FRONTERA;R. DE LA FRONTERA;67F;ESCUELA Nº 4509 JUAN FRANCISCO SALINAS;3844;21
STA. VICTORIA;NAZARENO;51E;ESCUELA Nº 4222 JUANA MANSO;3572;26
IRUYA;IRUYA;46K;ESCUELA Nº 4114 YAPEYU CUNA DEL GRAL. SAN MARTIN;3527;46
IRUYA;IRUYA;46C;ESCUELA Nº 4443 SAN JUAN BAUTISTA;3518;53
R. DE LA FRONTERA;R. DE LA FRONTERA;68B;ESCUELA Nº 4412;3848;59
R. DE LERMA;CAMPO QUIJANO;97D;ESCUELA Nº 4474;4097;67
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4092;68
STA. VICTORIA;S. V. OESTE;49C;ESCUELA Nº 4207 CNEL. DE MAR. BENITO JOSE GOYENA;3544;70
STA. VICTORIA;S. V. OESTE;49B;ESCUELA Nº 4282 NTRA. SRA. DEL ROS. DE SAN NICOLAS;3543;75
R. DE LA FRONTERA;R. DE LA FRONTERA;67G;ESCUELA Nº 4102 CARMEN SALAS;3845;75
METAN;METAN;15B;ESCUELA Nº 4082 GENERAL MANUEL BELGRANO;2510;77
R. DE LA FRONTERA;EL POTRERO;72B;ESCUELA Nº 4593;3859;78
GUACHIPAS;GUACHIPAS;64B;ESCUELA Nº 4368 JORGE MARIO BERGOGLIO;3773;79
R. DE LERMA;CAMPO QUIJANO;98A;ESCUELA Nº 4619 CNEL. SEVERO GARCIA DE SEQUEIRA;4098;80
ANTA;APOLINARIO SARAVIA;22B;ESCUELA Nº 4499;2592;82
R. DE LA FRONTERA;EL POTRERO;70A;ESCUELA Nº 4130 BATALLA DE SALTA;3851;83
GUACHIPAS;GUACHIPAS;65A;ESCUELA Nº 4377;3774;83
ORAN;COL. STA. ROSA;34B;ESCUELA Nº 4491;3055;83
MOLINOS;MOLINOS;88B;ESCUELA Nº 4585;3962;84
CAFAYATE;CAFAYATE;77C;ESCUELA Nº 4427 JOSEFA FRIAS DE ARAMBURU;3911;85
R. DE LA FRONTERA;R. DE LA FRONTERA;68A;ESCUELA Nº 4103 DR. LUIS GÜEMES;3847;85
METAN;EL GALPON;18C;ESCUELA Nº 4484 FRANCISCO NAZARIO CATALAN;2542;90
STA. VICTORIA;LOS TOLDOS;50C;ESCUELA Nº 4156 PROF. NESTOR ACOSTA;3562;91
RIVADAVIA;RIV. B. NORTE;28H;ESCUELA Nº 4759 17 DE JUNIO;2746;92
R. DE LA FRONTERA;R. DE LA FRONTERA;69A;ESCUELA Nº 4351 CHAÑAR AGUADA;3850;92
LA CALDERA;LA CALDERA;8C;ESCUELA Nº 4367 COMBATE DE LOS SAUCES;2285;98
CAFAYATE;CAFAYATE;76A;ESCUELA Nº 4366 VIRGEN DEL VALLE;3882;99
MOLINOS;SECLANTAS;85B;ESCUELA Nº 4426 CNEL. FRANCISCO DE GURRUCHAGA;3955;103
R. DE LA FRONTERA;R. DE LA FRONTERA;67C;ESCUELA Nº 4383 JUANA MANUELA GORRITI;3841;103
SAN CARLOS;ANGASTACO;82B;ESCUELA Nº 4461 CIUDAD DE LA PLATA;3943;103
R. DE LA FRONTERA;EL POTRERO;71B;ESCUELA Nº 4523;3855;109
STA. VICTORIA;S. V. OESTE;49I;ESCUELA Nº 4569 POLICIA DE SALTA;3551;110
CAFAYATE;CAFAYATE;77D;ESCUELA ALBERGUE Nº 8134 SAN AGUSTIN;3912;113
LA VIÑA;CNEL. MOLDES;62A;ESCUELA Nº 4407 JUAN ORLANDO GARCIA;3763;113
ORAN;PICHANAL;39A;ESCUELA Nº 4234 LA ESTRELLA;3121;114
R. DE LERMA;CAMPO QUIJANO;96B;ESCUELA Nº 4580;4093;114
ANTA;LAS LAJITAS;20A;ESCUELA Nº 4482 PASO DE LA CRUZ;2544;115
R. DE LERMA;CAMPO QUIJANO;93B;ESCUELA Nº 4326 GAUCHOS DE GÜEMES;4076;115
RIVADAVIA;RIV. B. NORTE;28D;ESCUELA Nº 4652 JUAN BACHIR GERALA;2736;118
ORAN;ORAN;31D;ESCUELA Nº 4535 PADRE IGNACIO TRUZZU;2982;119
CHICOANA;CHICOANA;56C;ESCUELA Nº 4654 CNEL. JUAN PASCUAL PRINGLES;3702;120
ORAN;PICHANAL;37A;ESCUELA Nº 4092 INFANTIL DE YUCHAN;3118;123
R. DE LERMA;R. DE LERMA;92A;ESCUELA Nº 4618 MARTA ELENA LEE;4047;124
STA. VICTORIA;NAZARENO;51D;ESCUELA Nº 4529 FRAY MAMERTO ESQUIU;3571;125
SAN CARLOS;SAN CARLOS;80A;ESCUELA Nº 4387 PASTORCITOS DE FATIMA;3938;126
CACHI;CACHI;89D;ESCUELA Nº 4429 COMBATE LA VUELTA DE OBLIGADO;3980;127
R. DE LA FRONTERA;R. DE LA FRONTERA;67E;ESCUELA Nº 4409 VIRGEN DE LA MONTAÑA;3843;128
STA. VICTORIA;S. V. OESTE;49F;ESCUELA Nº 4365;3547;130
RIVADAVIA;S. V. ESTE;29B;ESCUELA Nº 4602 PEDRO ALFONSO TEJERINA;2753;130
GUACHIPAS;GUACHIPAS;65B;ESCUELA Nº 4405 EX COMBATIENTES DE MALVINAS;3775;131
CACHI;PAYOGASTA;90C;ESCUELA Nº 4575;3988;133
R. DE LA FRONTERA;R. DE LA FRONTERA;67H;ESCUELA Nº 4479 ELIECER SALGADO;3846;135
ANTA;EL QUEBRACHAL;25B;ESCUELA Nº 4400 LEOPOLDO LUGONES;2681;136
GUACHIPAS;GUACHIPAS;66A;ESCUELA Nº 4546 DR. CARLOS INDALECIO GOMEZ;3776;137
STA. VICTORIA;S. V. OESTE;49D;ESCUELA Nº 4570 BRIG. JUAN MANUEL DE ROSAS;3545;140
CHICOANA;CHICOANA;57B;ESCUELA Nº 4373 MA. TERESITA LOPEZ DE CASTILLO;3711;140
CAPITAL;SALTA;7A;ESCUELA Nº 4054 DR. MARTIN GABRIEL DE GÜEMES;2272;141
ANTA;APOLINARIO SARAVIA;22F;ESCUELA Nº 4627 CIUDAD DE SALTA;2605;142
METAN;METAN;15G;ESCUELA Nº 4397 PANTALEON PALACIO;2511;142
CERRILLOS;LA MERCED;55C;ESCUELA Nº 4073 DR. MANUEL ANTONIO ACEVEDO;3683;145
CAFAYATE;CAFAYATE;77E;ESCUELA Nº 4411 GRAL. GREGORIO VELEZ;3913;147
ORAN;PICHANAL;38B;ESCUELA Nº 4566 DAVID BLANCO;3120;148
GUACHIPAS;GUACHIPAS;66B;ESCUELA Nº 4075 DR. FRANCISCO J. ORTIZ;3777;154
CACHI;CACHI;89E;ESCUELA Nº 4244 EL NEVADO DE CACHI;3981;155
R. DE LA FRONTERA;EL POTRERO;70B;ESCUELA Nº 4417 REPUBLICA DE LA INDIA;3852;161
GENERAL GÜEMES;GRAL. GÜEMES;14A;ESCUELA Nº 4433 CARLOS XAMENA;2434;164
ANTA;EL QUEBRACHAL;25F;ESCUELA Nº 4488 JOSE DOMINGO SARAVIA;2694;167
SAN CARLOS;ANGASTACO;83A;ESCUELA Nº 4650 SANTA TERESA DE JESUS;3944;167
CERRILLOS;LA MERCED;54B;ESCUELA Nº 4445 CANAL DE BEAGLE;3676;171
RIVADAVIA;RIV. B. SUR;26C;ESCUELA Nº 4531;2706;172
CERRILLOS;LA MERCED;55B;ESCUELA Nº 4442 PROF. JULIO HILARIO SARMIENTO;3681;176
CHICOANA;CHICOANA;56E;ESCUELA Nº 4376;3704;176
LA CALDERA;VAQUEROS;9B;ESCUELA Nº 4356 MADRE TIERRA;2312;176
CERRILLOS;LA MERCED;55B;ESCUELA Nº 4442 PROF. JULIO HILARIO SARMIENTO;3682;177
LA CALDERA;VAQUEROS;9B;ESCUELA Nº 4356 MADRE TIERRA;2313;178
RIVADAVIA;RIV. B. NORTE;28G;ESCUELA Nº 4576 SENADOR PCIAL. ALEJANDRO PAZ;2745;179
METAN;EL GALPON;18A;ESCUELA Nº 4589 REGIMIENTO GRANADEROS A CABALLO;2537;181
LA CANDELARIA;LA CANDELARIA;73B;ESCUELA Nº 4425 RVDO. PADRE RAFAEL SARAVIA;3866;182
LA CALDERA;LA CALDERA;8B;ESCUELA Nº 4534 SAN FRANCISCO DE ASIS;2284;183
LA VIÑA;LA VIÑA;60A;ESCUELA Nº 4333;3748;183
R. DE LERMA;CAMPO QUIJANO;94A;ESCUELA Nº 4328 REPUBLICA DE VENEZUELA;4077;183
METAN;EL GALPON;18A;ESCUELA Nº 4589 REGIMIENTO GRANADEROS A CABALLO;2538;185
LA CANDELARIA;LA CANDELARIA;73B;ESCUELA Nº 4425 RVDO. PADRE RAFAEL SARAVIA;3867;188
ORAN;PICHANAL;38A;ESCUELA Nº 4522 SOLDADO DE MALVINAS;3119;188
ANTA;J. V. GONZALEZ;24C;ESCUELA Nº 4476 LUISA DOMITILA SARAVIA;2653;189
LA VIÑA;LA VIÑA;60A;ESCUELA Nº 4333;3749;189
CHICOANA;CHICOANA;56B;ESCUELA Nº 4375 DR. BERNARDO FRIAS;3700;190
SAN MARTIN;AGUARAY;44F;ESCUELA Nº 4511 MANUEL DORREGO;3450;191
ANTA;J. V. GONZALEZ;24C;ESCUELA Nº 4476 LUISA DOMITILA SARAVIA;2654;193
CHICOANA;CHICOANA;56B;ESCUELA Nº 4375 DR. BERNARDO FRIAS;3701;193
MOLINOS;MOLINOS;88C;ESCUELA Nº 4588 SUP. MIRTHA S. CUESTA DE LOPEZ;3963;193
SAN MARTIN;AGUARAY;44F;ESCUELA Nº 4511 MANUEL DORREGO;3451;195
MOLINOS;MOLINOS;88C;ESCUELA Nº 4588 SUP. MIRTHA S. CUESTA DE LOPEZ;3964;198
R. DE LERMA;R. DE LERMA;91C;ESCUELA Nº 4331 EL TIMBO;4044;198
CERRILLOS;CERRILLOS;52D;ESCUELA Nº 4449 GABRIELA TORANZOS DE PERETTI;3612;203
ORAN;ORAN;33A;ESCUELA Nº 4341 CNEL. MANUEL EDUARDO ARIAS;3013;205
ANTA;J. V. GONZALEZ;23A;ESCUELA Nº 4606 CALIXTO GAUNA;2606;207
CERRILLOS;CERRILLOS;52D;ESCUELA Nº 4449 GABRIELA TORANZOS DE PERETTI;3613;207
R. DE LERMA;CAMPO QUIJANO;97C;ESCUELA Nº 4436 SAN MIGUEL ARCANGEL;4096;207
RIVADAVIA;S. V. ESTE;29H;ESCUELA Nº 4199;2777;209
CACHI;PAYOGASTA;90B;ESCUELA Nº 4325 DR. BENJAMIN ZORRILLA;3986;210
LOS ANDES;S. A. DE LOS COBRES;101A;ESCUELA Nº 4565 PADRE ANTONIO MALLEA;4118;210
LOS ANDES;S. A. DE LOS COBRES;102A;ESCUELA Nº 4600 MAYOR JUAN CARLOS LEONETTI;4119;211
RIVADAVIA;S. V. ESTE;29H;ESCUELA Nº 4199;2778;212
RIVADAVIA;RIV. B. SUR;27B;ESCUELA Nº 4598-5217;2716;213
CACHI;PAYOGASTA;90B;ESCUELA Nº 4325 DR. BENJAMIN ZORRILLA;3987;214
LA POMA;LA POMA;99B;ESCUELA Nº 4551;4102;214
ORAN;ORAN;33C;ESCUELA Nº 4557 PALOMA DE LA LIBERTAD;3015;220
R. DE LERMA;CAMPO QUIJANO;97A;ESCUELA Nº 4327 GABRIEL DE GÜEMES MONTERO;4094;221
ANTA;EL QUEBRACHAL;25E;ESCUELA Nº 4452 PASTORA LOBO DE PAUNA;2692;224
CACHI;CACHI;89A;ESCUELA Nº 4423 DR. VICTORINO DE LA PLAZA;3965;225
ANTA;EL QUEBRACHAL;25E;ESCUELA Nº 4452 PASTORA LOBO DE PAUNA;2693;227
ANTA;J. V. GONZALEZ;24B;ESCUELA Nº 4401 INDALECIO SARMIENTO;2652;228
SAN MARTIN;EMBARCACION;41E;ESCUELA Nº 4607 PADRE LOZANO;3193;228
SAN MARTIN;EMBARCACION;41E;ESCUELA Nº 4607 PADRE LOZANO;3194;230
CACHI;CACHI;89A;ESCUELA Nº 4423 DR. VICTORINO DE LA PLAZA;3966;231
R. DE LERMA;R. DE LERMA;91B;ESCUELA Nº 4632 DR. JOAQUIN GUASCH;4042;231
R. DE LERMA;R. DE LERMA;91B;ESCUELA Nº 4632 DR. JOAQUIN GUASCH;4043;233
ANTA;J. V. GONZALEZ;24D;ESCUELA Nº 4322 RAIMUNDO PONCE;2655;234
RIVADAVIA;RIV. B. NORTE;28C;ESCUELA Nº 4538 CAP. DE FRAGATA JUAN PAGE;2735;234
SAN MARTIN;GRAL. BALLIVIAN;41D;ESCUELA Nº 4117;3192;234
STA. VICTORIA;S. V. OESTE;49J;ESCUELA Nº 4545;3552;236
METAN;RIO PIEDRAS;16B;ESCUELA Nº 4406 NUESTRA SEÑORA DEL VALLE;2517;236
ORAN;H. YRIGOYEN;32A;ESCUELA Nº 4457 DR. VICTORINO DE LA PLAZA;2984;236
ORAN;H. YRIGOYEN;32A;ESCUELA Nº 4457 DR. VICTORINO DE LA PLAZA;2983;238
METAN;RIO PIEDRAS;16B;ESCUELA Nº 4406 NUESTRA SEÑORA DEL VALLE;2518;239
SAN MARTIN;AGUARAY;44G;ESCUELA Nº 4242 MONS. FRANCISCO DE LA C. MUGUERZA;3452;240
LOS ANDES;TOLAR GRANDE;103A;ESCUELA Nº 4622 MANUELA MARTINEZ DE TINEO;4120;242
CAFAYATE;CAFAYATE;77A;ESCUELA N° 4704 NORMAL SUPERIOR;3910;243
ORAN;H. YRIGOYEN;32A;ESCUELA Nº 4457 DR. VICTORINO DE LA PLAZA;2985;243
SAN MARTIN;AGUARAY;44G;ESCUELA Nº 4242 MONS. FRANCISCO DE LA C. MUGUERZA;3453;243
CAFAYATE;CAFAYATE;77A;ESCUELA N° 4704 NORMAL SUPERIOR;3908;244
CAFAYATE;CAFAYATE;77A;ESCUELA N° 4704 NORMAL SUPERIOR;3909;244
LOS ANDES;TOLAR GRANDE;103A;ESCUELA Nº 4622 MANUELA MARTINEZ DE TINEO;4121;244
RIVADAVIA;RIV. B. NORTE;28F;ESCUELA Nº 4467 PLUMA DE PATO;2742;244
RIVADAVIA;RIV. B. NORTE;28F;ESCUELA Nº 4467 PLUMA DE PATO;2743;244
LA CANDELARIA;EL JARDIN;75B;ESCUELA Nº 4540 LOLA MORA;3881;245
R. DE LA FRONTERA;EL POTRERO;72C;ESCUELA Nº 4413 JUAN BAUTISTA CABRAL;3860;245
MOLINOS;MOLINOS;88A;ESCUELA Nº 4591 JUAN CALCHAQUI;3961;246
METAN;EL GALPON;18B;ESCUELA Nº 4340 ANDREA AZUCENA CARENZO DE VILLA;2539;247
METAN;EL GALPON;18B;ESCUELA Nº 4340 ANDREA AZUCENA CARENZO DE VILLA;2540;247
METAN;EL GALPON;18B;ESCUELA Nº 4340 ANDREA AZUCENA CARENZO DE VILLA;2541;247
RIVADAVIA;RIV. B. NORTE;28F;ESCUELA Nº 4467 PLUMA DE PATO;2744;247
R. DE LA FRONTERA;EL POTRERO;72C;ESCUELA Nº 4413 JUAN BAUTISTA CABRAL;3861;248
RIVADAVIA;S. V. ESTE;29E;ESCUELA Nº 4506 PADRE DAMIAN DE VEUSTER;2768;249
R. DE LERMA;R. DE LERMA;91D;ESCUELA Nº 4330 JOSE EUSTAQUIO ALDERETE;4045;249
R. DE LA FRONTERA;EL POTRERO;72A;ESCUELA Nº 4395 FUERZA AEREA ARGENTINA;3856;251
R. DE LA FRONTERA;EL POTRERO;72A;ESCUELA Nº 4395 FUERZA AEREA ARGENTINA;3857;252
SAN MARTIN;AGUARAY;44B;ESCUELA Nº 4342 MTRO. JULIO RAMON PEREYRA;3441;252
SAN MARTIN;AGUARAY;44B;ESCUELA Nº 4342 MTRO. JULIO RAMON PEREYRA;3439;252
SAN MARTIN;AGUARAY;44B;ESCUELA Nº 4342 MTRO. JULIO RAMON PEREYRA;3440;252
R. DE LERMA;R. DE LERMA;91D;ESCUELA Nº 4330 JOSE EUSTAQUIO ALDERETE;4046;253
ORAN;PICHANAL;36A;ESCUELA Nº 4343 MARÍA L. B. DE MATUTE;3064;255
R. DE LA FRONTERA;EL POTRERO;72A;ESCUELA Nº 4395 FUERZA AEREA ARGENTINA;3858;255
SAN MARTIN;EMBARCACION;40C;ESCUELA Nº 4495 VIRGEN DEL ROSARIO DE LA CARIDAD;3177;257
CHICOANA;CHICOANA;56D;ESCUELA Nº 4408 MANUEL LAINEZ;3703;259
SAN CARLOS;SAN CARLOS;81A;ESCUELA Nº 4357 DEL MILAGRO;3939;259
GENERAL GÜEMES;CAMPO SANTO;11C;ESCUELA Nº 4450 MARTIN MIGUEL DE GÜEMES;2349;260
GENERAL GÜEMES;CAMPO SANTO;11B;ESCUELA Nº 4448 MIGUEL LARDIES;2346;262
MOLINOS;SECLANTAS;85A;ESCUELA Nº 4630 DR. FEDERICO IBARGUREN;3953;262
GENERAL GÜEMES;CAMPO SANTO;11B;ESCUELA Nº 4448 MIGUEL LARDIES;2347;263
MOLINOS;SECLANTAS;85A;ESCUELA Nº 4630 DR. FEDERICO IBARGUREN;3951;263
MOLINOS;SECLANTAS;85A;ESCUELA Nº 4630 DR. FEDERICO IBARGUREN;3952;263
MOLINOS;SECLANTAS;86A;ESCUELA Nº 4441;3956;263
MOLINOS;SECLANTAS;86A;ESCUELA Nº 4441;3957;263
GENERAL GÜEMES;CAMPO SANTO;11C;ESCUELA Nº 4450 MARTIN MIGUEL DE GÜEMES;2350;264
MOLINOS;SECLANTAS;85A;ESCUELA Nº 4630 DR. FEDERICO IBARGUREN;3954;266
CAPITAL;SALTA;5J;ESCUELA Nº 4053 GRAL. RUDECINDO ALVARADO;2150;267
ANTA;EL QUEBRACHAL;25C;ESCUELA Nº 4517 SANTA RITA;2683;268
MOLINOS;SECLANTAS;86A;ESCUELA Nº 4441;3958;268
ANTA;EL QUEBRACHAL;25C;ESCUELA Nº 4517 SANTA RITA;2684;269
CAPITAL;SALTA;5J;ESCUELA Nº 4053 GRAL. RUDECINDO ALVARADO;2149;269
GENERAL GÜEMES;CAMPO SANTO;11B;ESCUELA Nº 4448 MIGUEL LARDIES;2348;269
ORAN;ORAN;30A;ESCUELA Nº 4186 CABO JUAN ADOLFO ROMERO;2783;269
ORAN;ORAN;30A;ESCUELA Nº 4186 CABO JUAN ADOLFO ROMERO;2784;269
ORAN;ORAN;30A;ESCUELA Nº 4186 CABO JUAN ADOLFO ROMERO;2785;269
ANTA;EL QUEBRACHAL;25C;ESCUELA Nº 4517 SANTA RITA;2682;270
ANTA;EL QUEBRACHAL;25C;ESCUELA Nº 4517 SANTA RITA;2685;270
CAPITAL;SALTA;5J;ESCUELA Nº 4053 GRAL. RUDECINDO ALVARADO;2148;270
CAPITAL;SALTA;5J;ESCUELA Nº 4053 GRAL. RUDECINDO ALVARADO;2151;271
IRUYA;ISLA DE CAÑAS;48D;ESCUELA Nº 4125 INFANTIL DE CORTADERAS;3537;271
R. DE LA FRONTERA;EL POTRERO;72D;ESCUELA Nº 4336 SAN LORENZO;3862;274
ORAN;ORAN;30A;ESCUELA Nº 4186 CABO JUAN ADOLFO ROMERO;2786;274
RIVADAVIA;S. V. ESTE;29D;ESCUELA Nº 4190;2767;277
CAFAYATE;CAFAYATE;78A;ESCUELA Nº 4355 MARIA LUISA LOPEZ;3924;278
METAN;EL GALPON;17B;ESCUELA Nº 4414 POSTA DE YATASTO;2535;281
ORAN;ORAN;31C;ESCUELA Nº 4093 GRAL. M. M. DE GÜEMES;2980;281
RIVADAVIA;S. V. ESTE;29I;ESCUELA Nº 4216 OLOF FABIAN SEVERIN JONSSON;2779;282
ANTA;LAS LAJITAS;21B;ESCUELA Nº 4572 ESTHER COLQUI MARTINEZ;2571;283
RIVADAVIA;S. V. ESTE;29I;ESCUELA Nº 4216 OLOF FABIAN SEVERIN JONSSON;2780;283
SAN MARTIN;EMBARCACION;41C;ESCUELA Nº 4494 JUSTO JOSE DE URQUIZA;3190;283
ANTA;LAS LAJITAS;21B;ESCUELA Nº 4572 ESTHER COLQUI MARTINEZ;2570;284
ORAN;ORAN;31C;ESCUELA Nº 4093 GRAL. M. M. DE GÜEMES;2981;284
RIVADAVIA;S. V. ESTE;29I;ESCUELA Nº 4216 OLOF FABIAN SEVERIN JONSSON;2781;284
SAN MARTIN;EMBARCACION;41C;ESCUELA Nº 4494 JUSTO JOSE DE URQUIZA;3189;284
ORAN;ORAN;33B;ESCUELA Nº 4462;3014;285
METAN;EL GALPON;17B;ESCUELA Nº 4414 POSTA DE YATASTO;2536;286
RIVADAVIA;S. V. ESTE;29I;ESCUELA Nº 4216 OLOF FABIAN SEVERIN JONSSON;2782;286
SAN MARTIN;EMBARCACION;41C;ESCUELA Nº 4494 JUSTO JOSE DE URQUIZA;3191;286
LA POMA;LA POMA;99A;ESCUELA Nº 4381 NEVADO DE ACAY;4100;289
CACHI;PAYOGASTA;90A;ESCUELA Nº 4349 CNEL. BONIFACIO RUIZ DE LOS LLANOS;3984;290
LA CANDELARIA;EL JARDIN;75A;ESCUELA Nº 4502 CRISTINA CORDOBA DE CHAMORRO;3877;290
CACHI;PAYOGASTA;90A;ESCUELA Nº 4349 CNEL. BONIFACIO RUIZ DE LOS LLANOS;3982;291
CACHI;PAYOGASTA;90A;ESCUELA Nº 4349 CNEL. BONIFACIO RUIZ DE LOS LLANOS;3983;291
LA CANDELARIA;LA CANDELARIA;73A;ESCUELA Nº 4350 2 DE FEBRERO;3863;291
LA POMA;LA POMA;99A;ESCUELA Nº 4381 NEVADO DE ACAY;4099;291
RIVADAVIA;RIV. B. NORTE;28A;ESCUELA Nº 4574 HEROES SALTEÑOS POR LA PATRIA;2720;291
LA CANDELARIA;EL JARDIN;75A;ESCUELA Nº 4502 CRISTINA CORDOBA DE CHAMORRO;3879;292
LA CANDELARIA;LA CANDELARIA;73A;ESCUELA Nº 4350 2 DE FEBRERO;3864;292
LA CANDELARIA;EL JARDIN;75A;ESCUELA Nº 4502 CRISTINA CORDOBA DE CHAMORRO;3876;293
LA CANDELARIA;EL JARDIN;75A;ESCUELA Nº 4502 CRISTINA CORDOBA DE CHAMORRO;3878;293
CAPITAL;SALTA;2E;ESCUELA Nº 4315 REINO DE BELGICA;1185;294
LA CANDELARIA;EL JARDIN;75A;ESCUELA Nº 4502 CRISTINA CORDOBA DE CHAMORRO;3880;294
LA POMA;LA POMA;99A;ESCUELA Nº 4381 NEVADO DE ACAY;4101;294
ANTA;APOLINARIO SARAVIA;22C;ESCUELA Nº 4562 SAN HECTOR VALDIVIELSO SAEZ;2594;295
CAPITAL;SALTA;2E;ESCUELA Nº 4315 REINO DE BELGICA;1182;295
CAPITAL;SALTA;2E;ESCUELA Nº 4315 REINO DE BELGICA;1183;295
CAPITAL;SALTA;2E;ESCUELA Nº 4315 REINO DE BELGICA;1184;295
CAPITAL;SALTA;2E;ESCUELA Nº 4315 REINO DE BELGICA;1186;295
SAN CARLOS;ANGASTACO;82A;ESCUELA Nº 4354 JORGE NEWBERY;3940;295
SAN CARLOS;ANGASTACO;82A;ESCUELA Nº 4354 JORGE NEWBERY;3941;295
CACHI;PAYOGASTA;90A;ESCUELA Nº 4349 CNEL. BONIFACIO RUIZ DE LOS LLANOS;3985;296
SAN CARLOS;ANIMANA;79B;ESCUELA Nº 4362 DOMINGO FAUSTINO SARMIENTO;3935;296
ANTA;APOLINARIO SARAVIA;22C;ESCUELA Nº 4562 SAN HECTOR VALDIVIELSO SAEZ;2593;297
CERRILLOS;LA MERCED;55A;ESCUELA Nº 4320 SAN AGUSTIN;3678;297
SAN CARLOS;ANIMANA;79B;ESCUELA Nº 4362 DOMINGO FAUSTINO SARMIENTO;3932;297
SAN MARTIN;AGUARAY;44D;ESCUELA Nº 4541;3445;297
ANTA;GRAL. PIZARRO;22E;ESCUELA Nº 4052 20 DE FEBRERO;2599;298
CAPITAL;SALTA;2E;ESCUELA Nº 4315 REINO DE BELGICA;1187;298
LA CANDELARIA;LA CANDELARIA;73A;ESCUELA Nº 4350 2 DE FEBRERO;3865;298
SAN CARLOS;ANIMANA;79B;ESCUELA Nº 4362 DOMINGO FAUSTINO SARMIENTO;3933;298
SAN CARLOS;ANIMANA;79B;ESCUELA Nº 4362 DOMINGO FAUSTINO SARMIENTO;3934;298
ANTA;APOLINARIO SARAVIA;22C;ESCUELA Nº 4562 SAN HECTOR VALDIVIELSO SAEZ;2595;299
ANTA;GRAL. PIZARRO;22E;ESCUELA Nº 4052 20 DE FEBRERO;2600;299
ANTA;GRAL. PIZARRO;22E;ESCUELA Nº 4052 20 DE FEBRERO;2601;299
ANTA;GRAL. PIZARRO;22E;ESCUELA Nº 4052 20 DE FEBRERO;2602;299
ANTA;GRAL. PIZARRO;22E;ESCUELA Nº 4052 20 DE FEBRERO;2603;299
CERRILLOS;LA MERCED;55A;ESCUELA Nº 4320 SAN AGUSTIN;3679;299
METAN;RIO PIEDRAS;16A;ESCUELA Nº 4087 CANONIGO JUAN IGNACIO DE GORRITI;2514;299
METAN;RIO PIEDRAS;16A;ESCUELA Nº 4087 CANONIGO JUAN IGNACIO DE GORRITI;2515;299
SAN CARLOS;ANGASTACO;82A;ESCUELA Nº 4354 JORGE NEWBERY;3942;299
SAN MARTIN;AGUARAY;44D;ESCUELA Nº 4541;3446;299
CERRILLOS;LA MERCED;55A;ESCUELA Nº 4320 SAN AGUSTIN;3677;300
METAN;RIO PIEDRAS;16A;ESCUELA Nº 4087 CANONIGO JUAN IGNACIO DE GORRITI;2512;300
METAN;RIO PIEDRAS;16A;ESCUELA Nº 4087 CANONIGO JUAN IGNACIO DE GORRITI;2513;300
RIVADAVIA;RIV. B. NORTE;28E;ESCUELA Nº 4454 GRAL. ENRIQUE MOSCONI;2737;300
RIVADAVIA;RIV. B. NORTE;28E;ESCUELA Nº 4454 GRAL. ENRIQUE MOSCONI;2738;300
RIVADAVIA;RIV. B. NORTE;28E;ESCUELA Nº 4454 GRAL. ENRIQUE MOSCONI;2739;300
RIVADAVIA;RIV. B. NORTE;28E;ESCUELA Nº 4454 GRAL. ENRIQUE MOSCONI;2740;300
SAN CARLOS;ANIMANA;79B;ESCUELA Nº 4362 DOMINGO FAUSTINO SARMIENTO;3936;300
METAN;RIO PIEDRAS;16A;ESCUELA Nº 4087 CANONIGO JUAN IGNACIO DE GORRITI;2516;301
SAN MARTIN;TARTAGAL;43G;ESCUELA N° 4168 CHE SUNDARO;3408;301
SAN MARTIN;TARTAGAL;43G;ESCUELA N° 4168 CHE SUNDARO;3412;301
SAN MARTIN;TARTAGAL;43G;ESCUELA N° 4168 CHE SUNDARO;3413;301
ANTA;GRAL. PIZARRO;22E;ESCUELA Nº 4052 20 DE FEBRERO;2604;302
SAN MARTIN;TARTAGAL;43G;ESCUELA N° 4168 CHE SUNDARO;3409;302
SAN MARTIN;TARTAGAL;43G;ESCUELA N° 4168 CHE SUNDARO;3410;302
SAN MARTIN;TARTAGAL;43G;ESCUELA N° 4168 CHE SUNDARO;3411;302
ANTA;J. V. GONZALEZ;24E;ESCUELA Nº 4657 SAN MARTIN DE PORRES;2657;303
CAPITAL;SALTA;2H;ESCUELA Nº 4003 DR. JOAQUIN CASTELLANOS;1236;303
CAPITAL;SALTA;2H;ESCUELA Nº 4003 DR. JOAQUIN CASTELLANOS;1237;303
CERRILLOS;LA MERCED;55A;ESCUELA Nº 4320 SAN AGUSTIN;3680;303
CHICOANA;CHICOANA;56G;ESCUELA Nº 4369 CARMEN GÜEMES DE LATORRE;3708;303
RIVADAVIA;RIV. B. NORTE;28E;ESCUELA Nº 4454 GRAL. ENRIQUE MOSCONI;2741;303
